activity	size	net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	credit.score	total.oper.liabilities/assets	current.ratio	lt.sales.growth	st.sales.growth	lt.ebit.margin.change	net.debt/EBITDA	equity.ratio	TIE	ROA	public	id	activity.id	activity.ime	Arguments
J	L	8945226	7604232	1119278	918810	7650997	156278	-817067	101743	-8391765	2675730	-5435261	1294615	84698	434972	2224647	6248904	6236987	511917	7031602	109248	-8371918	-5977673	E	233.5	0.32	139.3	-10.6	-39.0	11.89	-2.03	0.00	-12.2	FALSE	KOLOSEJ zabavni centri, druzba za prikazovanje filmov, d.o.o.	59.14	KINEMATOGRAFSKA DEJAVNOST	?
M	S	73374	398707	1238312	1040630	39396	39396	458121	1498751	419581	9896940	5711206	5000	155	9168581	728359	4180734	4180734	0	4185734	0	1460211	945308	A	42.2	0.17	-97.7	-97.7	624.4	0.00	0.58	11.63	4.5	FALSE	RC MASPOS, Razvojni center za modularne in adaptivne signalno procesne oddajniske sisteme d.o.o.	72.19	RAZISKOVALNA IN RAZVOJNA DEJAVNOST NA DRUGIH PODROCJIH NARAVOSLOVJA IN TEHNOLOGIJE	?
C	S	4603096	3390106	891278	121048	3406	3406	42409	163457	78502	6275344	3255508	1786476	1332208	1736992	4538352	1057717	1057717	1602176	1242017	1537785	167915	1167092	A	16.9	3.65	-14.5	-26.8	-3.6	2.78	0.52	12.45	0.7	FALSE	RIKO RIBNICA d.o.o. Ribniska industrija kovinske opreme	28.99	PROIZVODNJA STROJEV ZA DRUGE POSEBNE NAMENE	?
C	M	11067590	9196540	1207635	841335	64270	52861	-183113	658222	-226270	11315742	5774055	2754088	534133	7121754	4183292	2575624	2575624	1761531	3568181	375803	575890	922779	E	22.8	1.17	-0.9	6.2	-1.2	3.37	0.51	0.00	-1.6	FALSE	IGM ZAGORJE Industrija gradbenega materiala, d.o.o.	23.52	PROIZVODNJA APNA IN MAVCA	?
F	M	5145154	3874660	1119112	78264	28392	28392	277031	355295	30516	2751875	745144	388054	166523	477659	2274216	1531051	1531051	0	1919105	241290	98500	-125554	E	55.6	1.19	-3.6	-11.1	22.3	0.62	0.27	9.76	6.0	FALSE	ELMO Elektromontazno podjetje, d.d.	43.21	INSTALIRANJE ELEKTRICNIH NAPELJAV IN NAPRAV	?
A	L	7202084	4662332	2496139	421738	32314	14988	-580677	-158939	-148839	5895210	4314811	1045	578947	3587676	2296789	870878	870878	0	871923	131160	261911	693188	E	14.8	2.63	1.5	-9.2	-9.6	30.00	0.73	0.00	-9.7	FALSE	GOZDNO GOSPODARSTVO MARIBOR d.d.	2.4	STORITVE ZA GOZDARSTVO	?
L	S	2228281	1078249	703207	2264294	2294207	176386	-1903561	360733	-4093500	23998136	16698034	3269691	522705	19843654	4152784	1741320	959039	5336114	1927800	1081634	-3869137	-2639520	E	7.3	2.15	-14.3	2.5	-89.4	7.62	0.70	0.00	-7.1	FALSE	ZARJA, stanovanjsko podjetje, d.o.o. Novo mesto	68.32	UPRAVLJANJE NEPREMICNIN ZA PLACILO ALI PO POGODBI	?
C	L	15146377	10137179	3876224	562796	227012	227012	634964	1197760	437518	10515065	2382394	2156655	1897482	4032444	6458675	5036867	3774174	3419348	3774174	2384903	688731	1955594	A	47.9	1.71	-2.9	32.0	4.2	0.22	0.23	2.80	6.2	FALSE	GOSTOL-GOPAN Proizvodnja prehrambene opreme in opreme za kemijsko industrijo d.o.o. Nova Gorica	28.93	PROIZVODNJA STROJEV ZA ZIVILSKO IN TOBACNO INDUSTRIJO	?
H	S	2993759	2357679	265586	517468	3311	3311	185719	703187	181236	2801462	508750	1057638	40763	1676521	1101603	1235074	769517	1491920	800792	111257	698704	436638	A	44.1	1.38	13.2	17.6	4.1	1.45	0.18	56.09	6.9	FALSE	TAURUS TRANSPORT d.o.o., druzba za prevozno in storitveno dejavnost	49.41	CESTNI TOVORNI PROMET	?
N	S	9435821	1385242	7774369	10578	162	162	201554	212132	162818	3313493	470602	0	1040542	61889	3166626	2796391	2796391	0	2796391	0	165610	697134	E	84.4	1.13	74.1	50.8	-2.0	-4.91	0.14	100.00	5.6	FALSE	SKUPINA KARIERA nacionalni kadrovski operater d.o.o.	78.2	POSREDOVANJE ZACASNE DELOVNE SILE	?
C	S	2313505	1495623	724677	56030	181867	181867	40466	96496	-154212	6217866	2516106	2304290	4889	2448013	3769853	1386063	1047046	1700078	1990275	2664162	-99148	525314	E	22.3	1.89	-3.9	-22.2	-4.5	23.83	0.40	0.22	0.6	FALSE	HIB, podjetje za proizvodnjo, trgovino na debelo in dro bno, servis, ekonomske, organizacijske in tehnolos ke stor.,in projektir. v gradbenistvu,Kranj, d.o.o	28.12	PROIZVODNJA NAPRAV ZA FLUIDNO TEHNIKO	?
C	M	14497851	8849168	3917175	1475058	370777	370777	352513	1827571	86806	12480820	1990627	7149745	112125	9374090	3080529	3126471	3126471	5094251	5181965	857813	1554217	1525846	E	25.1	0.59	8.5	-0.2	-6.3	3.85	0.16	0.95	2.8	FALSE	GEP STALEKAR, graficno embalazno podjetje d.o.o.	17.21	PROIZVODNJA VALOVITEGA PAPIRJA IN KARTONA TER PAPIRNE IN KARTONSKE EMBALAZE	?
I	M	20972326	11352559	8626994	736700	19860	19860	357779	1094479	345491	5344672	1223387	0	824734	1450975	3870852	3351167	3274277	76890	3274277	286787	918652	928210	A	62.7	1.18	0.3	-2.5	-2.1	-0.75	0.23	18.02	6.5	FALSE	SLOREST podjetje za gospodarske storitve d.o.o.	56.29	DRUGA OSKRBA Z JEDMI	?
G	S	7856041	6809675	792240	129170	107895	104477	112656	241826	16586	6167070	2102463	1178669	53211	2056557	4083156	2885938	2885938	649837	3414770	3123682	130982	904778	E	46.8	1.20	-6.4	-6.5	-4.8	4.65	0.34	1.08	1.8	FALSE	EUROSPORT TRADE Trgovsko podjetje, d.o.o. Ljubljana	46.9	NESPECIALIZIRANA TRGOVINA NA DEBELO	?
G	L	48752964	43905480	4859387	2403523	1592967	1572667	-2527659	-124136	-3342950	42380184	2739748	23488164	1569236	22240134	20112760	15655710	15611960	1003573	38140300	4776757	-1255846	-1741123	E	36.9	0.53	-11.0	-22.5	-5.1	30.00	0.06	0.00	-5.4	FALSE	SPORTINA, zunanja in notranja trgovina na debelo in drobno, proizvodnja, zastopanje, posredovanje in organizacija, Bled, d.o.o.	47.71	TRGOVINA NA DROBNO V SPECIALIZIRANIH PRODAJALNAH Z OBLACILI	?
F	S	7620842	6667565	460794	269634	7925	7925	269857	539491	355276	4514619	1988589	595372	131729	2934352	1565860	1859855	1859855	595372	1859855	770506	624910	163528	A	41.2	0.84	24.0	11.2	-1.0	0.86	0.44	34.05	6.1	FALSE	BIOMASA, Druzba za trgovino, servis in montazo kotlov na biomaso d.o.o.	43.22	INSTALIRANJE VODOVODNIH, PLINSKIH IN OGREVALNIH NAPELJAV IN NAPRAV	?
M	S	4672827	1048534	353529	1031204	753269	753269	2237370	3268574	998479	29345488	4139016	22542664	12247	28706148	548538	2663191	1223931	23981924	1223931	28553	2011624	1992540	E	9.1	0.45	3.5	-5.1	31.4	6.89	0.14	2.97	6.9	FALSE	AVTO KRKA trgovina, servis, zastopstvo d.o.o. Pisece	71.2	TEHNICNO PREIZKUSANJE IN ANALIZIRANJE	?
G	L	25954460	23612358	1546367	663140	103520	103520	164254	827394	562989	35455632	31358944	0	1405123	28844076	6585680	3608215	3606715	473789	3606715	3219530	974512	1484298	A	10.2	1.83	5.6	40.9	-1.7	-1.70	0.88	1.59	0.5	FALSE	STAJERSKI AVTO DOM d.o.o.	45.2	VZDRZEVANJE IN POPRAVILA MOTORNIH VOZIL	?
E	S	2834282	1808171	1101911	110170	243	243	-21159	89011	7081	2134279	1487584	0	108122	1048078	1068650	502812	502812	0	502812	119010	107108	61138	A	23.6	2.13	3.5	-1.4	-4.8	-1.21	0.70	0.00	-1.0	TRUE	JAVNO PODJETJE KOVOD POSTOJNA, vodovod, kanalizacija, d.o.o., Postojna	36	ZBIRANJE, PRECISCEVANJE IN DISTRIBUCIJA VODE	?
J	L	11117214	4977368	4029398	1070208	809684	0	1088888	2159096	354926	7631300	3657521	1822204	63695	3827057	3804243	1572621	1572621	0	3394825	113593	1425134	1539488	A	20.6	1.12	-5.5	4.3	4.6	0.81	0.48	100.00	13.1	FALSE	ACTUAL I.T., informacijske tehnologije, d.d.	62.02	SVETOVANJE O RACUNALNISKIH NAPRAVAH IN PROGRAMIH	?
G	S	3518154	2966278	427621	142996	58869	58869	-31961	111035	-81831	2497014	359852	867365	5262	1329393	1166034	1269797	1269507	329636	1807526	791365	17117	137774	E	50.9	0.65	-10.2	-11.9	-2.7	7.76	0.14	0.00	-1.2	FALSE	CONTRAST druzba za trgovino na debelo in storitve d.o.o.	46.22	TRGOVINA NA DEBELO S CVETJEM IN RASTLINAMI	?
