target	id	Arguments	status_account	month_duration	credit_history	purpose	credit_amount	status_savings	years_employment	payment_to_income_ratio	status_and_sex	secondary_obligor	residence_since	collateral	age	other_installment_plans	housing	n_credits	job	n_guarantors	telephone	is_foreign_worker
good	530		Negative balance	6	existing credits paid back duly till now	car (new)	662	< 100 DM	< 1 year	3	male : single	none	4	none	41	none	own	1	unskilled - resident	2	yes, registered under the customers name	yes
good	531		Low positive balance	36	existing credits paid back duly till now	education	2273	< 100 DM	4 to < 7 years	3	male : single	none	1	real estate	32	none	own	2	skilled employee/ official	2	none	yes
bad	532		Low positive balance	15	existing credits paid back duly till now	car (new)	2631	100 to < 500 DM	1 to < 4 years	2	female : divorced/separated/married	none	4	real estate	28	none	rent	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	533		No checking account	12	delay in paying off in the past	car (used)	1503	< 100 DM	1 to < 4 years	4	male : married/widowed	none	4	none	41	none	rent	1	skilled employee/ official	1	none	yes
good	534		No checking account	24	existing credits paid back duly till now	radio/television	1311	100 to < 500 DM	4 to < 7 years	4	male : married/widowed	none	3	car	26	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	535		No checking account	24	existing credits paid back duly till now	radio/television	3105	unknown/ no savings account	< 1 year	4	male : single	none	2	real estate	25	none	own	2	skilled employee/ official	1	none	yes
bad	536		High positive balance	21	critical account/ other credits existing (not at this bank)	education	2319	< 100 DM	< 1 year	2	male : divorced/separated	none	1	real estate	33	none	rent	1	skilled employee/ official	1	none	yes
good	537		Negative balance	6	existing credits paid back duly till now	car (new)	1374	unknown/ no savings account	unemployed	4	female : divorced/separated/married	none	3	car	75	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	538		Low positive balance	18	critical account/ other credits existing (not at this bank)	furniture/equipment	3612	< 100 DM	>= 7 years	3	female : divorced/separated/married	none	4	car	37	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	539		Negative balance	48	existing credits paid back duly till now	car (new)	7763	< 100 DM	>= 7 years	4	male : single	none	4	savings agreement/life insurance	42	bank	for free	1	management/ self-employed/highly qualified employee	1	none	yes
good	540		High positive balance	18	existing credits paid back duly till now	furniture/equipment	3049	< 100 DM	< 1 year	1	female : divorced/separated/married	none	1	car	45	stores	own	1	unskilled - resident	1	none	yes
bad	541		Low positive balance	12	existing credits paid back duly till now	radio/television	1534	< 100 DM	< 1 year	1	male : married/widowed	none	1	none	23	none	rent	1	skilled employee/ official	1	none	yes
good	542		No checking account	24	delay in paying off in the past	car (new)	2032	< 100 DM	>= 7 years	4	male : single	none	4	savings agreement/life insurance	60	none	for free	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	543		Negative balance	30	existing credits paid back duly till now	furniture/equipment	6350	unknown/ no savings account	>= 7 years	4	male : single	none	4	car	31	none	own	1	skilled employee/ official	1	none	yes
bad	544		High positive balance	18	existing credits paid back duly till now	furniture/equipment	2864	< 100 DM	1 to < 4 years	2	male : single	none	1	none	34	none	own	1	unskilled - resident	2	none	yes
good	545		No checking account	12	critical account/ other credits existing (not at this bank)	car (new)	1255	< 100 DM	>= 7 years	4	male : single	none	4	none	61	none	own	2	unskilled - resident	1	none	yes
bad	546		Negative balance	24	delay in paying off in the past	car (new)	1333	< 100 DM	unemployed	4	male : single	none	2	none	43	none	for free	2	skilled employee/ official	2	none	yes
good	547		No checking account	24	critical account/ other credits existing (not at this bank)	car (new)	2022	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	4	real estate	37	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	548		No checking account	24	existing credits paid back duly till now	radio/television	1552	< 100 DM	4 to < 7 years	3	male : single	none	1	real estate	32	bank	own	1	skilled employee/ official	2	none	yes
bad	549		Negative balance	12	all credits at this bank paid back duly	radio/television	626	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	4	none	24	bank	own	1	unskilled - resident	1	none	yes
good	550		No checking account	48	critical account/ other credits existing (not at this bank)	car (used)	8858	unknown/ no savings account	4 to < 7 years	2	male : single	none	1	savings agreement/life insurance	35	none	for free	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	551		No checking account	12	critical account/ other credits existing (not at this bank)	repairs	996	unknown/ no savings account	4 to < 7 years	4	female : divorced/separated/married	none	4	none	23	none	own	2	skilled employee/ official	1	none	yes
good	552		No checking account	6	all credits at this bank paid back duly	radio/television	1750	500 to < 1000 DM	>= 7 years	2	male : single	none	4	car	45	bank	own	1	unskilled - resident	2	none	yes
bad	553		Negative balance	48	existing credits paid back duly till now	radio/television	6999	< 100 DM	4 to < 7 years	1	male : married/widowed	guarantor	1	none	34	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	554		Low positive balance	12	critical account/ other credits existing (not at this bank)	car (new)	1995	100 to < 500 DM	< 1 year	4	male : single	none	1	real estate	27	none	own	1	skilled employee/ official	1	none	yes
good	555		Low positive balance	9	existing credits paid back duly till now	education	1199	< 100 DM	4 to < 7 years	4	female : divorced/separated/married	none	4	car	67	none	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	556		Low positive balance	12	existing credits paid back duly till now	radio/television	1331	< 100 DM	< 1 year	2	male : single	none	1	real estate	22	stores	own	1	skilled employee/ official	1	none	yes
bad	557		Low positive balance	18	no credits taken/ all credits paid back duly	car (new)	2278	100 to < 500 DM	< 1 year	3	female : divorced/separated/married	none	3	real estate	28	none	own	2	skilled employee/ official	1	none	yes
bad	558		No checking account	21	no credits taken/ all credits paid back duly	car (new)	5003	unknown/ no savings account	1 to < 4 years	1	female : divorced/separated/married	none	4	car	29	bank	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	559		Negative balance	24	all credits at this bank paid back duly	furniture/equipment	3552	< 100 DM	4 to < 7 years	3	male : single	none	4	real estate	27	bank	own	1	skilled employee/ official	1	none	yes
bad	560		Low positive balance	18	critical account/ other credits existing (not at this bank)	furniture/equipment	1928	< 100 DM	< 1 year	2	male : single	none	2	none	31	none	own	2	unskilled - resident	1	none	yes
good	561		Negative balance	24	existing credits paid back duly till now	car (used)	2964	unknown/ no savings account	>= 7 years	4	male : single	none	4	savings agreement/life insurance	49	bank	for free	1	skilled employee/ official	2	yes, registered under the customers name	yes
bad	562		Negative balance	24	all credits at this bank paid back duly	radio/television	1546	< 100 DM	4 to < 7 years	4	male : single	guarantor	4	real estate	24	bank	rent	1	unskilled - resident	1	none	yes
good	563		High positive balance	6	delay in paying off in the past	radio/television	683	< 100 DM	< 1 year	2	female : divorced/separated/married	none	1	car	29	bank	own	1	skilled employee/ official	1	none	yes
bad	564		Low positive balance	36	existing credits paid back duly till now	car (new)	12389	unknown/ no savings account	1 to < 4 years	1	male : single	none	4	savings agreement/life insurance	37	none	for free	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	565		Low positive balance	24	delay in paying off in the past	business	4712	unknown/ no savings account	1 to < 4 years	4	male : single	none	2	car	37	bank	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	566		Low positive balance	24	delay in paying off in the past	radio/television	1553	100 to < 500 DM	4 to < 7 years	3	female : divorced/separated/married	none	2	car	23	none	rent	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	567		Negative balance	12	existing credits paid back duly till now	car (new)	1372	< 100 DM	4 to < 7 years	2	male : divorced/separated	none	3	real estate	36	none	own	1	skilled employee/ official	1	none	yes
good	568		No checking account	24	critical account/ other credits existing (not at this bank)	radio/television	2578	>= 1000 DM	>= 7 years	2	male : single	none	2	real estate	34	none	own	1	skilled employee/ official	1	none	yes
good	569		Low positive balance	48	existing credits paid back duly till now	radio/television	3979	unknown/ no savings account	4 to < 7 years	4	male : single	none	1	real estate	41	none	own	2	skilled employee/ official	2	yes, registered under the customers name	yes
bad	570		Negative balance	48	existing credits paid back duly till now	radio/television	6758	< 100 DM	1 to < 4 years	3	female : divorced/separated/married	none	2	real estate	31	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	571		Negative balance	24	existing credits paid back duly till now	furniture/equipment	3234	< 100 DM	< 1 year	4	female : divorced/separated/married	none	4	none	23	none	rent	1	unskilled - resident	1	yes, registered under the customers name	yes
good	572		No checking account	30	critical account/ other credits existing (not at this bank)	radio/television	5954	< 100 DM	4 to < 7 years	3	male : single	co-applicant	2	real estate	38	none	own	1	skilled employee/ official	1	none	yes
good	573		No checking account	24	existing credits paid back duly till now	car (used)	5433	unknown/ no savings account	unemployed	2	female : divorced/separated/married	none	4	car	26	none	rent	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	574		Negative balance	15	existing credits paid back duly till now	business	806	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	4	car	22	none	own	1	unskilled - resident	1	none	yes
good	575		Low positive balance	9	existing credits paid back duly till now	radio/television	1082	< 100 DM	>= 7 years	4	male : single	none	4	real estate	27	none	own	2	unskilled - resident	1	none	yes
good	576		No checking account	15	critical account/ other credits existing (not at this bank)	furniture/equipment	2788	< 100 DM	4 to < 7 years	2	female : divorced/separated/married	co-applicant	3	real estate	24	bank	own	2	skilled employee/ official	1	none	yes
good	577		Low positive balance	12	existing credits paid back duly till now	radio/television	2930	< 100 DM	4 to < 7 years	2	female : divorced/separated/married	none	1	none	27	none	own	1	skilled employee/ official	1	none	yes
good	578		No checking account	24	critical account/ other credits existing (not at this bank)	education	1927	unknown/ no savings account	1 to < 4 years	3	female : divorced/separated/married	none	2	real estate	33	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	579		Low positive balance	36	critical account/ other credits existing (not at this bank)	car (new)	2820	< 100 DM	< 1 year	4	male : divorced/separated	none	4	real estate	27	none	own	2	skilled employee/ official	1	none	yes
good	580		No checking account	24	existing credits paid back duly till now	retraining	937	< 100 DM	< 1 year	4	male : married/widowed	none	3	real estate	27	none	own	2	unskilled - resident	1	none	yes
bad	581		Low positive balance	18	critical account/ other credits existing (not at this bank)	car (new)	1056	< 100 DM	>= 7 years	3	male : single	guarantor	3	none	30	bank	own	2	skilled employee/ official	1	none	yes
good	582		Low positive balance	12	critical account/ other credits existing (not at this bank)	car (new)	3124	< 100 DM	< 1 year	1	male : single	none	3	none	49	bank	own	2	unskilled - resident	2	none	yes
good	583		No checking account	9	existing credits paid back duly till now	furniture/equipment	1388	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	2	none	26	none	rent	1	skilled employee/ official	1	none	yes
bad	584		Low positive balance	36	existing credits paid back duly till now	repairs	2384	< 100 DM	< 1 year	4	male : single	none	1	savings agreement/life insurance	33	none	rent	1	unskilled - resident	1	none	yes
good	585		No checking account	12	existing credits paid back duly till now	car (new)	2133	unknown/ no savings account	>= 7 years	4	female : divorced/separated/married	none	4	savings agreement/life insurance	52	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	586		Negative balance	18	existing credits paid back duly till now	furniture/equipment	2039	< 100 DM	1 to < 4 years	1	female : divorced/separated/married	none	4	none	20	bank	rent	1	skilled employee/ official	1	none	yes
good	587		Negative balance	9	critical account/ other credits existing (not at this bank)	car (new)	2799	< 100 DM	1 to < 4 years	2	male : single	none	2	none	36	none	rent	2	skilled employee/ official	2	none	yes
good	588		Negative balance	12	existing credits paid back duly till now	furniture/equipment	1289	< 100 DM	1 to < 4 years	4	male : single	guarantor	1	car	21	none	own	1	unskilled - resident	1	none	yes
bad	589		Negative balance	18	existing credits paid back duly till now	domestic appliances	1217	< 100 DM	1 to < 4 years	4	male : married/widowed	none	3	none	47	none	own	1	unskilled - resident	1	yes, registered under the customers name	yes
bad	590		Negative balance	12	critical account/ other credits existing (not at this bank)	furniture/equipment	2246	< 100 DM	>= 7 years	3	male : single	none	3	car	60	none	own	2	skilled employee/ official	1	none	yes
good	591		Negative balance	12	critical account/ other credits existing (not at this bank)	radio/television	385	< 100 DM	4 to < 7 years	4	female : divorced/separated/married	none	3	none	58	none	own	4	unskilled - resident	1	yes, registered under the customers name	yes
good	592		Low positive balance	24	delay in paying off in the past	car (new)	1965	unknown/ no savings account	1 to < 4 years	4	female : divorced/separated/married	none	4	real estate	42	none	rent	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	593		No checking account	21	existing credits paid back duly till now	business	1572	>= 1000 DM	>= 7 years	4	female : divorced/separated/married	none	4	none	36	bank	own	1	unskilled - resident	1	none	yes
bad	594		Low positive balance	24	existing credits paid back duly till now	car (new)	2718	< 100 DM	1 to < 4 years	3	female : divorced/separated/married	none	4	car	20	none	rent	1	unskilled - resident	1	yes, registered under the customers name	yes
bad	595		Negative balance	24	all credits at this bank paid back duly	others	1358	unknown/ no savings account	>= 7 years	4	male : single	none	3	real estate	40	stores	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	596		Low positive balance	6	all credits at this bank paid back duly	car (new)	931	100 to < 500 DM	< 1 year	1	female : divorced/separated/married	none	1	car	32	stores	own	1	unskilled - resident	1	none	yes
bad	597		Negative balance	24	existing credits paid back duly till now	car (new)	1442	< 100 DM	4 to < 7 years	4	female : divorced/separated/married	none	4	real estate	23	none	rent	2	skilled employee/ official	1	none	yes
bad	598		Low positive balance	24	no credits taken/ all credits paid back duly	business	4241	< 100 DM	1 to < 4 years	1	male : single	none	4	none	36	none	own	3	unskilled - resident	1	yes, registered under the customers name	yes
bad	599		No checking account	18	critical account/ other credits existing (not at this bank)	car (new)	2775	< 100 DM	4 to < 7 years	2	male : single	none	2	car	31	bank	own	2	skilled employee/ official	1	none	yes
good	600		No checking account	24	delay in paying off in the past	business	3863	< 100 DM	1 to < 4 years	1	male : single	none	2	savings agreement/life insurance	32	none	for free	1	skilled employee/ official	1	none	yes
good	601		Low positive balance	7	existing credits paid back duly till now	radio/television	2329	< 100 DM	< 1 year	1	female : divorced/separated/married	guarantor	1	none	45	none	own	1	skilled employee/ official	1	none	yes
bad	602		Low positive balance	9	existing credits paid back duly till now	furniture/equipment	918	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	1	car	30	none	own	1	skilled employee/ official	1	none	yes
bad	603		Low positive balance	24	all credits at this bank paid back duly	education	1837	< 100 DM	4 to < 7 years	4	female : divorced/separated/married	none	4	savings agreement/life insurance	34	bank	for free	1	unskilled - resident	1	none	yes
bad	604		No checking account	36	existing credits paid back duly till now	furniture/equipment	3349	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	2	real estate	28	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	605		High positive balance	10	existing credits paid back duly till now	furniture/equipment	1275	< 100 DM	< 1 year	4	female : divorced/separated/married	none	2	car	23	none	own	1	skilled employee/ official	1	none	yes
good	606		Negative balance	24	all credits at this bank paid back duly	furniture/equipment	2828	500 to < 1000 DM	1 to < 4 years	4	male : single	none	4	none	22	stores	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	607		No checking account	24	critical account/ other credits existing (not at this bank)	business	4526	< 100 DM	1 to < 4 years	3	male : single	none	2	none	74	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	608		Low positive balance	36	existing credits paid back duly till now	radio/television	2671	100 to < 500 DM	1 to < 4 years	4	female : divorced/separated/married	co-applicant	4	savings agreement/life insurance	50	none	for free	1	skilled employee/ official	1	none	yes
good	609		No checking account	18	existing credits paid back duly till now	radio/television	2051	< 100 DM	< 1 year	4	male : single	none	1	none	33	none	own	1	skilled employee/ official	1	none	yes
good	610		No checking account	15	existing credits paid back duly till now	car (used)	1300	unknown/ no savings account	>= 7 years	4	male : single	none	4	savings agreement/life insurance	45	bank	for free	1	skilled employee/ official	2	none	yes
bad	611		Negative balance	12	existing credits paid back duly till now	domestic appliances	741	100 to < 500 DM	unemployed	4	female : divorced/separated/married	none	3	car	22	none	own	1	skilled employee/ official	1	none	yes
bad	612		High positive balance	10	existing credits paid back duly till now	car (new)	1240	100 to < 500 DM	>= 7 years	1	female : divorced/separated/married	none	4	savings agreement/life insurance	48	none	for free	1	unskilled - resident	2	none	yes
good	613		Negative balance	21	existing credits paid back duly till now	radio/television	3357	>= 1000 DM	< 1 year	4	female : divorced/separated/married	none	2	real estate	29	bank	own	1	skilled employee/ official	1	none	yes
good	614		Negative balance	24	all credits at this bank paid back duly	car (used)	3632	< 100 DM	1 to < 4 years	1	female : divorced/separated/married	guarantor	4	real estate	22	bank	rent	1	skilled employee/ official	1	none	no
bad	615		No checking account	18	delay in paying off in the past	furniture/equipment	1808	< 100 DM	4 to < 7 years	4	female : divorced/separated/married	none	1	none	22	none	own	1	skilled employee/ official	1	none	yes
good	616		Low positive balance	48	no credits taken/ all credits paid back duly	business	12204	unknown/ no savings account	1 to < 4 years	2	male : single	none	2	real estate	48	bank	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	617		Low positive balance	60	delay in paying off in the past	radio/television	9157	unknown/ no savings account	1 to < 4 years	2	male : single	none	2	savings agreement/life insurance	27	none	for free	1	management/ self-employed/highly qualified employee	1	none	yes
good	618		Negative balance	6	critical account/ other credits existing (not at this bank)	car (new)	3676	< 100 DM	1 to < 4 years	1	male : single	none	3	none	37	none	rent	3	skilled employee/ official	2	none	yes
bad	619		Low positive balance	30	existing credits paid back duly till now	furniture/equipment	3441	100 to < 500 DM	1 to < 4 years	2	female : divorced/separated/married	co-applicant	4	real estate	21	none	rent	1	skilled employee/ official	1	none	yes
good	620		No checking account	12	existing credits paid back duly till now	car (new)	640	< 100 DM	1 to < 4 years	4	male : divorced/separated	none	2	none	49	none	own	1	unskilled - resident	1	none	yes
good	621		Low positive balance	21	critical account/ other credits existing (not at this bank)	business	3652	< 100 DM	4 to < 7 years	2	male : single	none	3	car	27	none	own	2	skilled employee/ official	1	none	yes
bad	622		No checking account	18	critical account/ other credits existing (not at this bank)	car (new)	1530	< 100 DM	1 to < 4 years	3	male : single	none	2	car	32	bank	own	2	skilled employee/ official	1	none	yes
bad	623		No checking account	48	existing credits paid back duly till now	business	3914	unknown/ no savings account	1 to < 4 years	4	male : divorced/separated	none	2	none	38	bank	own	1	skilled employee/ official	1	none	yes
good	624		Negative balance	12	existing credits paid back duly till now	furniture/equipment	1858	< 100 DM	< 1 year	4	female : divorced/separated/married	none	1	real estate	22	none	rent	1	skilled employee/ official	1	none	yes
bad	625		Negative balance	18	existing credits paid back duly till now	radio/television	2600	< 100 DM	1 to < 4 years	4	male : single	none	4	savings agreement/life insurance	65	none	for free	2	skilled employee/ official	1	none	yes
good	626		No checking account	15	existing credits paid back duly till now	radio/television	1979	unknown/ no savings account	>= 7 years	4	male : single	none	2	real estate	35	none	own	1	skilled employee/ official	1	none	yes
good	627		High positive balance	6	existing credits paid back duly till now	furniture/equipment	2116	< 100 DM	1 to < 4 years	2	male : single	none	2	none	41	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	628		Low positive balance	9	all credits at this bank paid back duly	car (new)	1437	100 to < 500 DM	4 to < 7 years	2	male : single	none	3	savings agreement/life insurance	29	none	own	1	skilled employee/ official	1	none	yes
good	629		No checking account	42	critical account/ other credits existing (not at this bank)	furniture/equipment	4042	500 to < 1000 DM	1 to < 4 years	4	male : single	none	4	none	36	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	630		No checking account	9	existing credits paid back duly till now	education	3832	unknown/ no savings account	>= 7 years	1	male : single	none	4	none	64	none	own	1	unskilled - resident	1	none	yes
good	631		Negative balance	24	existing credits paid back duly till now	radio/television	3660	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	4	real estate	28	none	own	1	skilled employee/ official	1	none	yes
bad	632		Negative balance	18	all credits at this bank paid back duly	furniture/equipment	1553	< 100 DM	1 to < 4 years	4	male : single	none	3	real estate	44	bank	own	1	skilled employee/ official	1	none	yes
good	633		Low positive balance	15	existing credits paid back duly till now	radio/television	1444	unknown/ no savings account	< 1 year	4	male : single	none	1	car	23	none	own	1	skilled employee/ official	1	none	yes
bad	634		No checking account	9	existing credits paid back duly till now	furniture/equipment	1980	< 100 DM	< 1 year	2	female : divorced/separated/married	co-applicant	2	real estate	19	none	rent	2	skilled employee/ official	1	none	yes
bad	635		Low positive balance	24	existing credits paid back duly till now	car (new)	1355	< 100 DM	< 1 year	3	female : divorced/separated/married	none	4	real estate	25	none	own	1	unskilled - resident	1	yes, registered under the customers name	yes
good	636		No checking account	12	existing credits paid back duly till now	education	1393	< 100 DM	>= 7 years	4	male : single	none	4	car	47	bank	own	3	skilled employee/ official	2	yes, registered under the customers name	yes
good	637		No checking account	24	existing credits paid back duly till now	radio/television	1376	500 to < 1000 DM	4 to < 7 years	4	female : divorced/separated/married	none	1	real estate	28	none	own	1	skilled employee/ official	1	none	yes
good	638		No checking account	60	delay in paying off in the past	radio/television	15653	< 100 DM	4 to < 7 years	2	male : single	none	4	real estate	21	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	639		No checking account	12	existing credits paid back duly till now	radio/television	1493	< 100 DM	< 1 year	4	female : divorced/separated/married	none	3	real estate	34	none	own	1	skilled employee/ official	2	none	yes
bad	640		Negative balance	42	delay in paying off in the past	radio/television	4370	< 100 DM	4 to < 7 years	3	male : single	none	2	car	26	bank	own	2	skilled employee/ official	2	yes, registered under the customers name	yes
bad	641		Negative balance	18	existing credits paid back duly till now	education	750	< 100 DM	unemployed	4	female : divorced/separated/married	none	1	none	27	none	own	1	unemployed/ unskilled - non-resident	1	none	yes
good	642		Low positive balance	15	existing credits paid back duly till now	repairs	1308	< 100 DM	>= 7 years	4	male : single	none	4	real estate	38	none	own	2	unskilled - resident	1	none	yes
bad	643		No checking account	15	existing credits paid back duly till now	education	4623	100 to < 500 DM	1 to < 4 years	3	male : single	none	2	car	40	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	644		No checking account	24	critical account/ other credits existing (not at this bank)	radio/television	1851	< 100 DM	4 to < 7 years	4	male : married/widowed	guarantor	2	real estate	33	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	645		Negative balance	18	critical account/ other credits existing (not at this bank)	radio/television	1880	< 100 DM	4 to < 7 years	4	male : married/widowed	none	1	car	32	none	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	646		No checking account	36	delay in paying off in the past	business	7980	unknown/ no savings account	< 1 year	4	male : single	none	4	real estate	27	none	rent	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	647		Negative balance	30	no credits taken/ all credits paid back duly	furniture/equipment	4583	< 100 DM	1 to < 4 years	2	male : divorced/separated	guarantor	2	none	32	none	own	2	skilled employee/ official	1	none	yes
bad	648		No checking account	12	existing credits paid back duly till now	car (new)	1386	500 to < 1000 DM	1 to < 4 years	2	female : divorced/separated/married	none	2	car	26	none	own	1	skilled employee/ official	1	none	yes
bad	649		High positive balance	24	existing credits paid back duly till now	car (new)	947	< 100 DM	4 to < 7 years	4	male : single	none	3	savings agreement/life insurance	38	bank	for free	1	skilled employee/ official	2	none	yes
bad	650		Negative balance	12	existing credits paid back duly till now	education	684	< 100 DM	1 to < 4 years	4	male : single	none	4	real estate	40	none	rent	1	unskilled - resident	2	none	yes
good	651		Negative balance	48	existing credits paid back duly till now	education	7476	< 100 DM	4 to < 7 years	4	male : single	none	1	savings agreement/life insurance	50	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	652		Low positive balance	12	existing credits paid back duly till now	furniture/equipment	1922	< 100 DM	1 to < 4 years	4	male : single	none	2	car	37	none	own	1	unskilled - resident	1	none	yes
bad	653		Negative balance	24	existing credits paid back duly till now	car (new)	2303	< 100 DM	>= 7 years	4	male : single	co-applicant	1	none	45	none	own	1	skilled employee/ official	1	none	yes
bad	654		Low positive balance	36	delay in paying off in the past	car (new)	8086	100 to < 500 DM	>= 7 years	2	male : single	none	4	real estate	42	none	own	4	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	655		No checking account	24	critical account/ other credits existing (not at this bank)	car (used)	2346	< 100 DM	4 to < 7 years	4	male : single	none	3	real estate	35	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	656		Negative balance	14	existing credits paid back duly till now	car (new)	3973	< 100 DM	unemployed	1	male : single	none	4	savings agreement/life insurance	22	none	for free	1	skilled employee/ official	1	none	yes
bad	657		Low positive balance	12	existing credits paid back duly till now	car (new)	888	< 100 DM	>= 7 years	4	male : single	none	4	real estate	41	bank	own	1	unskilled - resident	2	none	yes
good	658		No checking account	48	existing credits paid back duly till now	radio/television	10222	unknown/ no savings account	4 to < 7 years	4	male : single	none	3	real estate	37	stores	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	659		Low positive balance	30	no credits taken/ all credits paid back duly	business	4221	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	1	real estate	28	none	own	2	skilled employee/ official	1	none	yes
good	660		Low positive balance	18	critical account/ other credits existing (not at this bank)	furniture/equipment	6361	< 100 DM	>= 7 years	2	male : single	none	1	savings agreement/life insurance	41	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	661		High positive balance	12	existing credits paid back duly till now	radio/television	1297	< 100 DM	1 to < 4 years	3	male : married/widowed	none	4	none	23	none	rent	1	skilled employee/ official	1	none	yes
bad	662		Negative balance	12	existing credits paid back duly till now	car (new)	900	unknown/ no savings account	1 to < 4 years	4	male : married/widowed	none	2	real estate	23	none	own	1	skilled employee/ official	1	none	yes
good	663		No checking account	21	existing credits paid back duly till now	furniture/equipment	2241	< 100 DM	>= 7 years	4	male : single	none	2	none	50	none	own	2	skilled employee/ official	1	none	yes
good	664		Low positive balance	6	delay in paying off in the past	furniture/equipment	1050	< 100 DM	unemployed	4	male : single	none	1	car	35	stores	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	665		High positive balance	6	critical account/ other credits existing (not at this bank)	education	1047	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	4	car	50	none	own	1	unskilled - resident	1	none	yes
good	666		No checking account	24	critical account/ other credits existing (not at this bank)	others	6314	< 100 DM	unemployed	4	male : single	co-applicant	2	savings agreement/life insurance	27	bank	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	667		Low positive balance	30	all credits at this bank paid back duly	furniture/equipment	3496	>= 1000 DM	1 to < 4 years	4	male : single	none	2	real estate	34	stores	own	1	skilled employee/ official	2	yes, registered under the customers name	yes
good	668		No checking account	48	all credits at this bank paid back duly	business	3609	< 100 DM	1 to < 4 years	1	female : divorced/separated/married	none	1	none	27	stores	own	1	skilled employee/ official	1	none	yes
bad	669		Negative balance	12	critical account/ other credits existing (not at this bank)	car (new)	4843	< 100 DM	>= 7 years	3	male : single	co-applicant	4	car	43	none	rent	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	670		High positive balance	30	critical account/ other credits existing (not at this bank)	radio/television	3017	< 100 DM	>= 7 years	4	male : single	none	4	car	47	none	own	1	skilled employee/ official	1	none	yes
good	671		No checking account	24	critical account/ other credits existing (not at this bank)	business	4139	100 to < 500 DM	1 to < 4 years	3	male : single	none	3	car	27	none	own	2	unskilled - resident	1	yes, registered under the customers name	yes
good	672		No checking account	36	existing credits paid back duly till now	business	5742	100 to < 500 DM	4 to < 7 years	2	male : single	none	2	real estate	31	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	673		No checking account	60	existing credits paid back duly till now	car (new)	10366	< 100 DM	>= 7 years	2	male : single	none	4	car	42	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	674		No checking account	6	critical account/ other credits existing (not at this bank)	car (new)	2080	500 to < 1000 DM	1 to < 4 years	1	male : married/widowed	none	2	real estate	24	none	own	1	skilled employee/ official	1	none	yes
